abv,ibu,id,name,style,,brewery_id,ounces
0.08,,1877,Patrick's Poison,American Amber / Red Ale,,1,12
0.081,,1764,Rudolph's Red,American Amber / Red Ale,,1,12
0.053,,1103,Babbling Blonde,American Blonde Ale,,1,12
0.051,,1102,Maxwell's Scottish Ale,Scottish Ale,,1,12
0.061,,1101,Grateful White,Witbier,,1,12
0.055,,1100,RT Lager,American Amber / Red Lager,,1,12
0.062,,1099,Old Wylie's IPA,American IPA,,1,12
0.048,,1098,Hala Kahiki Pineapple Beer,Fruit / Vegetable Beer,,1,12
0.055,40,2576,Fist City,American Pale Ale (APA),,1,12
0.068,,1133,A Little Crazy,Belgian Pale Ale,,1,12
0.058,15,609,Rosa Hibiscus Ale,Herbed / Spiced Beer,,1,12
0.061,31,418,Fistmas Ale,Herbed / Spiced Beer,,1,12
0.057,25,417,Oktoberfest Revolution,Märzen / Oktoberfest,,1,12
0.068,28,416,Eugene Porter,American Porter,,1,12
0.065,70,415,Anti-Hero IPA,American IPA,,1,12
0.05,14,414,Bottom Up Belgian Wit,Witbier,,1,12
0.085,34,2575,Wooden Rooster,Tripel,,1,16.9
0.048,20,2555,Ginger Peach Saison,Saison / Farmhouse Ale,,1,16
0.062,35,1736,Zombie Monkie,American Porter,,1,16
0.056,20,1196,Wild Plum Farmhouse Ale,Saison / Farmhouse Ale,,1,16
0.05,20,1063,Vanilla Bean Buffalo Sweat,Oatmeal Stout,,1,16
0.068,110,1017,Ethos IPA,American IPA,,1,16
0.044,12,1009,Tallgrass Pub Ale,American Brown Ale,,1,16
0.072,93,912,Oasis,Extra Special / Strong Bitter (ESB),,1,16
0.05,20,765,Buffalo Sweat,Milk / Sweet Stout,,1,16
0.05,20,676,Halcyon Unfiltered Wheat,American Pale Wheat Ale,,1,16
0.052,,595,8-Bit Pale Ale,American Pale Ale (APA),,1,16
0.085,,537,Velvet Rooster,Tripel,,1,16
0.05,20,412,Halcyon Unfiltered Wheat,American Pale Wheat Ale,,1,12
0.05,16,105,Köld Lager (2010),German Pilsener,,1,16
0.072,93,104,Oasis (2010),American Double / Imperial IPA,,1,16
0.044,22,103,Tallgrass Ale,American Brown Ale,,1,16
0.05,20,102,Buffalo Sweat (2010),Milk / Sweet Stout,,1,16
0.063,60,101,Tallgrass IPA,American IPA,,1,16
0.1,52,2574,4Beans,Baltic Porter,,1,12
0.042,16,2479,Jammer,Gose,,1,12
0.08,,2443,Abigale,Belgian Pale Ale,,1,12
0.032,7,2266,Rad,Fruit / Vegetable Beer,,1,16
0.065,62,2090,Bengali,American IPA,,1,24
0.047,50,1962,Sensi Harvest,American Pale Ale (APA),,1,12
0.099,111,1696,Hi-Res,American Double / Imperial IPA,,1,12
0.07,70,1608,Global Warmer,American Strong Ale,,1,12
0.067,74,1591,Autumnation (2013),American IPA,,1,16
0.054,42,1388,The Crisp,German Pilsener,,1,16
0.052,34,1387,Sweet Action,Cream Ale,,1,16
0.063,57,1386,Righteous Ale,Rye Beer,,1,16
0.064,62,1385,Bengali Tiger,American IPA,,1,16
0.099,85,1020,3Beans,Baltic Porter,,1,12
0.059,47,778,Brownstone,American Brown Ale,,1,16
0.052,11,630,Apollo,American Pale Wheat Ale,,1,16
0.049,35,629,Harbinger,Saison / Farmhouse Ale,,1,16
0.091,103,628,Resin,American Double / Imperial IPA,,1,12
0.063,69,525,Diesel,American Stout,,1,16
0.06,48,512,Autumnation (2011-12) (2011),Pumpkin Ale,,1,16
0.054,42,425,The Crisp (2011),German Pilsener,,1,16
0.052,34,424,Sweet Action (2011),Cream Ale,,1,16
0.063,57,423,Righteous Ale (2011),Rye Beer,,1,16
0.064,62,422,Bengali Tiger (2011),American IPA,,1,16
0.055,,2573,Raspberry Berliner Weisse,Berliner Weissbier,,1,12
0.05,,2572,Hop Session,American IPA,,1,12
0.055,,2571,Blueberry Berliner Weisse,Berliner Weissbier,,1,12
0.055,,2570,Berliner Weisse,Berliner Weissbier,,1,12
0.045,47,2569,Easy Jack,American IPA,,1,12
0.075,75,2463,Union Jack,American IPA,,1,12
